2025-04-21 00:55:40.269 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:40.710 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:40.710 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x7f11134bdec4994c959936590748bfb6a66e2510) already exists.
2025-04-21 00:55:40.710 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-04-21 00:55:42.004 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:42.004 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x944a38debe3673f19411a9038fb5aa5e29239954) already exists.
2025-04-21 00:55:42.004 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15) returning *
2025-04-21 00:55:42.430 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
2025-04-21 00:55:42.430 UTC [102614] DETAIL:  Key ("ownerId", checksum)=(f0cbb11a-54ef-4fcd-916a-c70f0d1e5524, \x987c4f35d7e59b3bd9233884e86da07c370b4491) already exists.
2025-04-21 00:55:42.430 UTC [102614] STATEMENT:  insert into "assets" ("ownerId", "libraryId", "checksum", "originalPath", "deviceAssetId", "deviceId", "fileCreatedAt", "fileModifiedAt", "localDateTime", "type", "isFavorite", "isArchived", "duration", "isVisible", "livePhotoVideoId", "originalFileName") values ($1, $2, $3, $4, $5, $6, $7, $8, $9, $10, $11, $12, $13, $14, $15, $16) returning *
2025-04-21 00:55:44.241 UTC [102614] ERROR:  duplicate key value violates unique constraint "UQ_assets_owner_checksum"
